('private', 'key'),2613
('public', 'key'),2590
('would', 'like'),1957
('ip', 'address'),1885
('192', '168'),1323
('00', '00'),1214
('web', 'application'),1132
('something', 'like'),1008
('username', 'password'),952
('web', 'server'),936
('credit', 'card'),930
('example', 'com'),908
('http', 'www'),873
('email', 'address'),841
("i'd", 'like'),826
("i'm", 'trying'),803
("i'm", 'sure'),794
('brute', 'force'),788
('sql', 'injection'),720
("i'm", 'using'),714
("i'm", 'looking'),691
('like', 'know'),671
('make', 'sure'),647
('plain', 'text'),645
("let's", 'say'),622
('ssl', 'certificate'),613
('unescape', 'unescape'),611
('source', 'code'),597
('seems', 'like'),596
('looks', 'like'),587
('want', 'know'),585
('encryption', 'key'),574
('third', 'party'),569
('ip', 'addresses'),545
('secret', 'key'),538
('google', 'com'),538
('fa', 'fa'),521
('best', 'way'),512
('mac', 'address'),508
("i'm", 'wondering'),504
('https', 'www'),504
('ssl', 'tls'),482
('web', 'app'),474
('private', 'keys'),462
('security', 'risk'),448
('root', 'ca'),443
('sensitive', 'data'),440
('client', 'side'),437
('tcp', 'open'),436
('would', 'need'),407
('encrypted', 'data'),407
('hard', 'drive'),405
('server', 'side'),403
('globals', "'s9b2'"),403
('windows', 'nt'),402
('client', 'server'),402
('even', 'though'),399
('key', 'exchange'),398
('information', 'security'),398
('open', 'source'),397
('every', 'time'),392
('web', 'service'),389
('rsa', 'aes'),373
("i've", 'read'),371
('best', 'practices'),370
('sensitive', 'information'),368
('xx', 'xx'),364
('want', 'use'),363
('virtual', 'machine'),358
('symmetric', 'key'),358
('session', 'id'),358
('make', 'sense'),358
('key', 'pair'),353
('operating', 'system'),352
('3rd', 'party'),349
('good', 'idea'),342
('domain', 'name'),340
('key', 'used'),337
('best', 'practice'),336
('ff', 'ff'),330
('encrypt', 'data'),327
('could', 'use'),327
('password', 'hash'),326
('public', 'keys'),323
('client', 'certificate'),322
('access', 'token'),320
('missing', 'something'),319
("i've", 'seen'),318
('asp', 'net'),318
('windows', '10'),317
('anyone', 'know'),317
('password', 'manager'),315
('penetration', 'testing'),314
('user', 'id'),313
("i'm", 'asking'),313
('phone', 'number'),306
('web', 'site'),305
('came', 'across'),303
('thanks', 'advance'),302
('public', 'private'),300
('look', 'like'),299
('security', 'issues'),298
('would', 'make'),297
('server', 'client'),295
('cipher', 'suite'),292
('user', 'account'),291
('would', 'able'),288
("i'm", 'thinking'),288
('man', 'middle'),287
('master', 'password'),286
('secure', 'way'),285
('aes', '256'),283
('aes', '128'),282
('index', 'php'),280
('web', 'browser'),278
('rsa', 'key'),278
("can't", 'find'),278
('dos', 'attack'),277
("i'm", 'working'),276
('pci', 'dss'),274
('buffer', 'overflow'),274
('cbc', 'sha'),273
('random', 'number'),272
('xxx', 'xxx'),268
('x01', 'x01'),268
('mitm', 'attack'),266
('x5c', 'x7825'),265
('login', 'page'),265
('physical', 'access'),264
('user', 'password'),262
('hash', 'function'),262
('less', 'secure'),261
('anything', 'else'),260
('things', 'like'),258
('key', 'server'),258
("i'm", 'currently'),258
('gain', 'access'),258
("i'm", 'interested'),253
('encrypted', 'using'),252
('web', 'applications'),251
('master', 'key'),251
('password', 'reset'),250
('web', 'page'),248
('trying', 'understand'),244
('certificate', 'authority'),242
('would', 'possible'),241
('digital', 'signature'),241
('want', 'make'),239
('security', 'risks'),239
('cn', 'browser'),239
('browser', 'register'),239
('net', 'clr'),238
('far', 'know'),238
('security', 'implications'),237
('disk', 'encryption'),237
('tracking', 'cookie'),236
('http', '200'),235
('first', 'time'),235
('would', 'use'),234
('server', 'using'),233
('ssl', 'certificates'),231
('root', 'certificate'),231
('session', 'key'),230
('port', '80'),230
('mozilla', 'windows'),228
('windows', 'server'),226
('mobile', 'phone'),226
('malicious', 'code'),226
('could', 'find'),226
('encryption', 'algorithm'),225
('cipher', 'suites'),225
('hash', 'password'),224
('data', 'encrypted'),224
('20', '20'),224
('something', 'else'),222
('kali', 'linux'),222
('change', 'password'),222
('able', 'find'),222
('server', 'server'),221
('access', 'point'),221
('security', 'issue'),220
('rest', 'api'),220
('csrf', 'token'),219
('attacker', 'could'),219
('access', 'control'),217
('would', 'also'),216
('mobile', 'app'),216
('email', 'addresses'),216
('dns', 'server'),215
("i've", 'found'),214
('user', 'input'),212
('someone', 'else'),210
('first', 'place'),210
('aes', 'key'),210
('use', 'password'),209
('password', 'hashing'),209
('invalid', 'user'),209
('google', 'chrome'),209
('bad', 'idea'),209
('user', 'data'),208
('two', 'different'),207
('secure', 'enough'),207
('windows', 'xp'),206
('access', 'data'),206
('need', 'know'),205
('factor', 'authentication'),205
('one', 'time'),204
('get', 'http'),204
('shared', 'secret'),203
('point', 'view'),203
('personal', 'information'),203
("i've", 'tried'),203
('would', 'allow'),202
('someone', 'could'),202
("i'm", 'curious'),202
('able', 'access'),202
('wifi', 'network'),201
('user', 'agent'),201
('internet', 'connection'),201
('encryption', 'decryption'),201
('command', 'line'),201
('smart', 'card'),198
('internal', 'network'),198
('sql', 'server'),197
('network', 'security'),196
('lets', 'say'),196
('could', 'used'),196
('android', 'app'),195
('yahoo', 'com'),193
('server', 'would'),193
('proxy', 'server'),193
('would', 'work'),192
('using', 'public'),192
('get', 'access'),192
('key', 'stored'),191
('decrypt', 'data'),191
('safe', 'use'),189
('possible', 'use'),189
('password', 'password'),189
('let', 'know'),189
('end', 'user'),188
('tcp', 'filtered'),187
('server', 'certificate'),187
('question', 'would'),187
('would', 'take'),186
("i'm", 'aware'),186
('http', 'request'),186
('new', 'password'),185
('key', 'file'),185
('hashing', 'algorithm'),185
('data', 'stored'),185
('ca', 'certificate'),185
('better', 'way'),185
('key', 'would'),184
('home', 'network'),184
('file', 'system'),184
('usr', 'sbin'),183
("let's", 'assume'),183
('email', 'account'),183
('find', 'anything'),182
('used', 'encrypt'),181
('gmail', 'account'),181
('would', 'still'),180
('password', 'would'),179
('encrypt', 'decrypt'),179
('uid', 'flags'),178
('fetch', 'uid'),178
('using', 'openssl'),177
('mitm', 'attacks'),177
('social', 'engineering'),176
('key', 'encryption'),176
('using', 'vpn'),175
('trying', 'find'),175
('service', 'provider'),175
('application', 'server'),175
('answer', 'question'),175
('http', 'https'),174
('access', 'server'),174
('www', 'example'),173
('using', 'password'),173
('network', 'traffic'),173
('store', 'passwords'),172
('128', 'cbc'),172
('using', 'https'),171
('stored', 'database'),171
('need', 'use'),171
('x00', 'x00'),170
('usr', 'bin'),170
('pretty', 'much'),170
('sim', 'card'),169
('encryption', 'keys'),169
('using', 'private'),168
('makes', 'sense'),168
('card', 'number'),168
('web', 'services'),167
('php', 'file'),167
('come', 'across'),167
('tls', 'ecdhe'),166
('symmetric', 'encryption'),166
('server', 'sshd'),166
('pci', 'compliance'),166
('one', 'thing'),166
('input', 'type'),166
('security', 'measures'),165
('php', 'code'),165
('pci', 'compliant'),165
('hashed', 'password'),165
('256', 'cbc'),165
('user', 'name'),164
('use', 'https'),164
("i'm", 'running'),164
('could', 'get'),164
('able', 'get'),164
('18', '06'),164
('06', '07'),164
('using', 'ssl'),163
('know', 'whether'),162
('data', 'sent'),162
('able', 'see'),162
('wireless', 'network'),161
('card', 'information'),161
('self', 'signed'),160
('public', 'ip'),160
("i'm", 'going'),160
("i'm", 'concerned'),160
('create', 'new'),160
('able', 'use'),160
('udpblockjun', '18'),159
('reset', 'password'),159
('password', 'salt'),159
